# Avida Dominant Data
# Fri Jun 24 16:00:02 2011
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

0 0 0 0 0 100 0 0 1 0 0 0 0 0 1 100-aaaaa 
100 97 388 0.25 0.00257732 100 100 97 41 0 0 1 0 0.252604 2 100-aaaab 
200 97 389 0.249357 0.00257069 100 100 97 703 31 24 0 0 0.254593 1 100-aaaaa 
300 97 389 0.249357 0.00257069 100 100 97 388 37 32 0 0 0.255937 1 100-aaaaa 
400 97 388 0.25 0.00257732 100 100 97 246 12 11 1 0 0.255937 2 100-aaaab 
500 97 388 0.25 0.00257732 100 100 97 115 6 5 1 0 0.256614 2 100-aaaab 
600 97 388 0.25 0.00257732 100 100 97 45 0 0 1 0 0.257294 2 100-aaaab 
700 97 388 0.25 0.00257732 100 100 97 31 3 2 2 0 0.257294 11858 100-aadjd 
800 97 388 0.25 0.00257732 100 100 97 21 1 1 2 0 0.257979 62 100-aaabw 
900 97 388 0.25 0.00257732 100 100 97 27 2 1 1 0 0.257979 2 100-aaaab 
1000 97 386 0.251295 0.00259067 100 100 97 22 0 0 6 0 0.258667 19055 100-aafpi 
1100 97 384 0.252604 0.00260417 100 100 97 41 4 3 5 0 0.260054 22140 100-aafuz 
1200 97 385 0.251948 0.0025974 100 100 97 30 6 5 5 0 0.260054 17952 100-aaeut 
1300 97 385 0.251948 0.0025974 100 100 97 24 0 0 5 0 0.258667 17952 100-aaeut 
1400 97 385 0.251948 0.0025974 100 100 97 27 3 2 5 0 0.260753 31064 100-aaiem 
1500 97 382 0.253927 0.0026178 100 100 97 48 4 4 6 0 0.261456 36762 100-aajmp 
1600 97 382 0.253927 0.0026178 100 100 97 38 4 4 6 0 0.262162 36762 100-aajmp 
1700 96 376 0.255319 0.00265957 100 100 96 24 0 0 9 0 0.260054 35217 100-aajey 
1800 97 383 0.253264 0.00261097 100 100 97 27 0 0 9 0 0.261456 46163 100-aalzm 
1900 97 386 0.251295 0.00259067 100 100 97 28 2 1 10 0 0.261456 44469 100-aalte 
2000 97 386 0.251295 0.00259067 100 100 97 29 2 2 10 0 0.263441 44469 100-aalte 
2100 97 379 0.255937 0.00263852 100 100 97 29 4 3 12 0 0.262735 44525 100-aalod 
2200 97 377 0.257294 0.00265252 100 100 97 27 5 4 11 0 0.263441 55923 100-aaonz 
2300 97 372 0.260753 0.00268817 100 100 97 23 3 3 16 0 0.262873 57985 100-aaotn 
2400 97 373 0.260054 0.00268097 100 100 97 31 1 0 12 0 0.263587 48687 100-aamov 
2500 97 381 0.254593 0.00262467 100 100 97 31 4 4 16 0 0.509186 69410 100-aartl 
2600 136.291 381 0.35772 0.00262467 100 100 97 32 0 0 13 0 0.520107 75212 100-aaszl 
2700 134.385 381 0.352718 0.00262467 100 100 97 70 9 6 13 0 0.522911 75212 100-aaszl 
2800 497.097 376 1.32207 0.00265957 100 100 96 902 81 71 17 0 2.07568 85765 100-aavjx 
2900 500.004 376 1.3298 0.00265957 100 100 96 750 46 34 17 0 2.0813 85765 100-aavjx 
3000 503.891 376 1.34013 0.00265957 100 100 96 492 29 24 17 0 2.0973 85765 100-aavjx 
3100 578.073 375 1.54153 0.00266667 100 100 96 330 23 18 18 0 2.0813 87856 100-aavxu 
3200 585.1 375 1.56027 0.00266667 100 100 96 425 16 13 18 0 2.0813 87856 100-aavxu 
3300 583.191 375 1.55518 0.00266667 100 100 96 279 16 12 18 0 2.08511 87856 100-aavxu 
3400 581.979 375 1.55194 0.00266667 100 100 96 263 13 13 18 0 2.09164 87856 100-aavxu 
3500 583.659 375 1.55642 0.00266667 100 100 96 202 15 15 18 0 2.08696 87856 100-aavxu 
3600 588.058 374 1.57235 0.0026738 100 100 96 129 10 7 19 0 2.09264 89816 100-aawfi 
3700 585.135 376 1.55621 0.00265957 100 100 96 78 5 5 18 0 2.10188 89641 100-aawfh 
3800 589.051 375 1.5708 0.00266667 100 100 96 81 6 4 19 0 2.10298 89224 100-aawgd 
3900 588.939 375 1.5705 0.00266667 100 100 96 67 2 2 19 0 2.09836 89224 100-aawgd 
4000 589.634 375 1.57236 0.00266667 100 100 96 75 3 2 19 0 2.1087 89224 100-aawgd 
4100 2324.23 366 6.35035 0.00273224 100 100 95 1562 78 63 27 0 8.37466 128712 100-abcxv 
4200 2312.63 366 6.31865 0.00273224 100 100 95 1346 63 49 27 1 16.612 128712 100-abcxv 
4300 2312.49 366 6.31827 0.00273224 100 100 95 974 58 46 27 0 8.44444 128712 100-abcxv 
4400 2312.36 366 6.31793 0.00273224 100 100 95 858 63 47 27 0 8.44444 128712 100-abcxv 
4500 2311.43 366 6.31538 0.00273224 100 100 95 659 35 30 27 0 8.44444 128712 100-abcxv 
4600 2312.36 366 6.31793 0.00273224 100 100 95 447 24 18 27 0 8.51541 128712 100-abcxv 
4700 2313.34 366 6.3206 0.00273224 100 100 95 335 23 19 27 0 8.51541 128712 100-abcxv 
4800 2314.48 366 6.32371 0.00273224 100 100 95 287 10 9 27 0 8.51541 128712 100-abcxv 
4900 2313.6 366 6.32131 0.00273224 100 100 95 193 4 2 27 0 8.5097 128712 100-abcxv 
5000 2314.77 366 6.32451 0.00273224 100 100 95 167 16 11 27 0 8.5097 128712 100-abcxv 
